id,strain,mouse.id,dam,sire,sex,dob,date.2wk,date.3wk,date.6wk,date.9wk,sac.date,age.sac,ls,seq,mtw,tissue,recombinat,sac,gfp,rfp,mfp,ffp,tf
.b206.,2DB,2DFB(F2)-01-41-01,2DFB-04-21-03,2DFB-04-21-07,0,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,1,nr,32.2,0.855,0.158,0.415,0.61,2.038
b207,2DB,2DFB(F2)-01-41-02,2DFB-04-21-03,2DFB-04-21-07,0,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,0,nr,29.6,1.107,0.272,0.378,1.032,2.789
b208,2DB,2DFB(F2)-01-41-03,2DFB-04-21-03,2DFB-04-21-07,0,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,1,nr,25.9,0.393,0.063,0.161,0.392,1.009
b209,2DB,2DFB(F2)-01-41-04,2DFB-04-21-03,2DFB-04-21-07,0,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,0,nr,29.6,0.553,0.091,0.265,0.452,1.361
b210,2DB,2DFB(F2)-01-41-05,2DFB-04-21-03,2DFB-04-21-07,1,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,1,nr,41.8,0.408,0.089,0.285,0.423,1.205
b211,2DB,2DFB(F2)-01-41-06,2DFB-04-21-03,2DFB-04-21-07,1,09-Dec-06,23-Dec-06,30-Dec-06,20-Jan-07,10-Feb-07,13-Feb-07,66,6,1,26.1,1,nr,41.1,0.426,0.078,0.241,0.404,1.149
b212,2DB,2DFB(F2)-01-42-01,2DFB-04-19-02,2DFB-04-19-05,0,12-Dec-06,26-Dec-06,02-Jan-07,23-Jan-07,13-Feb-07,13-Feb-07,63,4,1,28.4,1,nr,28,0.38,0.07,0.223,0.352,1.025
b213,2DB,2DFB(F2)-01-42-02,2DFB-04-19-02,2DFB-04-19-05,0,12-Dec-06,26-Dec-06,02-Jan-07,23-Jan-07,13-Feb-07,13-Feb-07,63,4,1,28.4,1,nr,26.5,0.581,0.11,0.316,0.483,1.49
b214,2DB,2DFB(F2)-01-42-03,2DFB-04-19-02,2DFB-04-19-05,1,12-Dec-06,26-Dec-06,02-Jan-07,23-Jan-07,13-Feb-07,13-Feb-07,63,4,1,28.4,1,nr,38.5,0.417,0.085,0.279,0.399,1.18
b215,2DB,2DFB(F2)-01-42-04,2DFB-04-19-02,2DFB-04-19-05,1,12-Dec-06,26-Dec-06,02-Jan-07,23-Jan-07,13-Feb-07,13-Feb-07,63,4,1,28.4,1,nr,37,0.46,0.094,0.291,0.398,1.243
b216,2DB,2DFB(F2)-01-43-01,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,1,nr,31.2,0.613,0.113,0.304,0.487,1.517
b217,2DB,2DFB(F2)-01-43-02,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,25.3,0.407,0.054,0.21,0.342,1.013
b218,2DB,2DFB(F2)-01-43-03,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,24.2,0.447,0.072,0.252,0.444,1.215
b219,2DB,2DFB(F2)-01-43-04,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,26.1,0.41,0.054,0.174,0.368,1.006
b220,2DB,2DFB(F2)-01-43-05,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,26.4,0.312,0.038,0.19,0.325,0.865
b221,2DB,2DFB(F2)-01-43-06,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,1,nr,29.8,0.291,0.055,0.231,0.353,0.93
b222,2DB,2DFB(F2)-01-43-07,2DFB-04-21-01,2DFB-04-21-07,0,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,24.8,0.384,0.07,0.115,0.41,0.979
b223,2DB,2DFB(F2)-01-43-08,2DFB-04-21-01,2DFB-04-21-07,1,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,33.5,0.432,0.125,0.243,0.411,1.211
b224,2DB,2DFB(F2)-01-43-09,2DFB-04-21-01,2DFB-04-21-07,1,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,39.6,0.376,0.085,0.208,0.381,1.05
b225,2DB,2DFB(F2)-01-43-10,2DFB-04-21-01,2DFB-04-21-07,1,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,1,nr,39.8,0.452,0.113,0.261,0.35,1.176
b226,2DB,2DFB(F2)-01-43-11,2DFB-04-21-01,2DFB-04-21-07,1,19-Dec-06,02-Jan-07,09-Jan-07,30-Jan-07,20-Feb-07,23-Feb-07,66,11,2,33.5,0,nr,37.1,0.37,0.081,0.265,0.315,1.031
b227,2DB,2DFB(F2)-01-44-01,2DFB-04-22-01,2DFB-04-22-10,0,22-Dec-06,05-Jan-07,12-Jan-07,02-Feb-07,23-Feb-07,23-Feb-07,63,4,2,32.4,1,nr,25.9,0.427,0.068,0.205,0.365,1.065
b228,2DB,2DFB(F2)-01-44-02,2DFB-04-22-01,2DFB-04-22-10,1,22-Dec-06,05-Jan-07,12-Jan-07,02-Feb-07,23-Feb-07,23-Feb-07,63,4,2,32.4,0,nr,32.4,0.308,0.089,0.217,0.321,0.935
b229,2DB,2DFB(F2)-01-44-03,2DFB-04-22-01,2DFB-04-22-10,1,22-Dec-06,05-Jan-07,12-Jan-07,02-Feb-07,23-Feb-07,23-Feb-07,63,4,2,32.4,0,nr,34.9,0.381,0.08,0.251,0.305,1.017
b230,2DB,2DFB(F2)-01-44-04,2DFB-04-22-01,2DFB-04-22-10,1,22-Dec-06,05-Jan-07,12-Jan-07,02-Feb-07,23-Feb-07,23-Feb-07,63,4,2,32.4,0,nr,36.8,0.352,0.062,0.238,0.323,0.975
